id,value,object
Photograph,1929,284882
Negative,1929,722511
Negative,1929,722512
Negative,1929,722513
Negative,1929,722514
Letters/ Correspondence,1929,283435
Photographically illustrated book,1930,265599
Photographically illustrated book,1930,265982
Photograph,1930,266201
Negative,1930,272397
Negative,1930,272443
Negative,1930,272445
Negative,1930,272446
Negative,1930,272447
Negative,1930,272448
Negative,1930,272449
Negative,1930,272508
Negative,1930,272509
Negative,1930,272510
Negative,1930,272589
Negative,1930,274657
Glass negative,1930,274787
Glass negative,1930,274788
Glass negative,1930,274790
Glass negative,1930,274792
Glass negative,1930,274793
Glass negative,1930,274794
Glass negative,1930,274795
Glass negative,1930,274809
Glass negative,1930,274861
Glass negative,1930,274864
Glass negative,1930,274865
Negative,1930,274918
Negative,1930,275497
Negative,1930,275498
Negative,1930,275500
Negative,1930,275508
Negative,1930,276787
Negative,1930,278034
Negative,1930,278356
Photograph,1930,286413
Photograph,1930,288896
Negative,1930,274103
Negative,1930,274438
Negative,1930,274453
Negative,1930,274454
Negative,1930,274457
Negative,1930,274490
Negative,1930,274545
Negative,1930,274546
Negative,1930,274556
Negative,1930,274578
Negative,1930,274611
Negative,1930,274648
Photograph,1930,260637
Negative,1930,272236
Negative,1930,272237
Negative,1930,272238
Negative,1930,272653
Negative,1930,272654
Negative,1930,272660
Negative,1930,272661
Negative,1930,273147
Negative,1930,273148
Negative,1930,273149
Negative,1930,273150
Negative,1930,273151
Negative,1930,273153
Negative,1930,273154
Negative,1930,273155
Negative,1930,273156
Negative,1930,273157
Negative,1930,273158
Negative,1930,273219
Negative,1930,273220
Negative,1930,273221
Negative,1930,273222
Negative,1930,273223
Negative,1930,273224
Negative,1930,273225
Negative,1930,273226
Negative,1930,273227
Negative,1930,273453
Negative,1930,273643
Negative,1930,273644
Negative,1930,273645
Negative,1930,273646
Negative,1930,273647
Negative,1930,273649
Negative,1930,273650
Negative,1930,273651
Negative,1930,273652
Negative,1930,273653
Negative,1930,273665
Negative,1930,273666
Negative,1930,273667
Negative,1930,273668
Negative,1930,273669
Negative,1930,273671
Negative,1930,273672
Negative,1930,273673
Negative,1930,273674
Negative,1930,273675
Negative,1930,273806
Negative,1930,274054
Negative,1930,274055
Negative,1930,274084
Negative,1930,274323
Negative,1930,274324
Negative,1930,274326
Negative,1930,274327
Negative,1930,274328
Negative,1930,274329
Negative,1930,274330
Negative,1930,274331
Negative,1930,274332
Negative,1930,274343
Negative,1930,274344
Negative,1930,274345
Negative,1930,274346
Negative,1930,274348
Negative,1930,274349
Negative,1930,274350
Negative,1930,274351
Negative,1930,274353
Negative,1930,274355
Negative,1930,274356
Negative,1930,274357
Negative,1930,274359
Negative,1930,274420
Negative,1930,274428
Negative,1930,274429
Negative,1930,274435
Negative,1930,274439
Negative,1930,274440
Negative,1930,274441
Negative,1930,274443
Negative,1930,274444
Negative,1930,274445
Negative,1930,274448
Negative,1930,274449
Negative,1930,274450
Negative,1930,274455
Negative,1930,274456
Negative,1930,274470
Negative,1930,274472
Negative,1930,274473
Negative,1930,274478
Negative,1930,274479
Negative,1930,274491
Negative,1930,274502
Negative,1930,274513
Negative,1930,274521
Negative,1930,274522
Negative,1930,274525
Negative,1930,274535
Negative,1930,274538
Negative,1930,274540
Negative,1930,274548
Negative,1930,274557
Negative,1930,274559
Negative,1930,274560
Negative,1930,274561
Negative,1930,274562
Negative,1930,274563
Negative,1930,274564
Negative,1930,274565
Negative,1930,274568
Negative,1930,274570
Negative,1930,274571
Negative,1930,274572
Negative,1930,274573
Negative,1930,274574
Negative,1930,274576
Negative,1930,274577
Negative,1930,274581
Negative,1930,274582
Negative,1930,274583
Negative,1930,274584
Negative,1930,274593
Negative,1930,274594
Negative,1930,274623
Negative,1930,274625
Negative,1930,274644
Negative,1930,274649
Negative,1930,274650
Negative,1930,274720
Negative,1930,275012
Negative,1930,275144
Negative,1930,275145
Negative,1930,275179
Negative,1930,275180
Negative,1930,275181
Negative,1930,275182
Negative,1930,275194
Negative,1930,275199
Negative,1930,275212
Negative,1930,275213
Negative,1930,275291
Negative,1930,275310
Negative,1930,275311
