Acquired,Department,Created
44.109.7,American Decorative Arts,1802
59.35.1,American Decorative Arts,1769
34.100.63,American Decorative Arts,1784
59.35.2,American Decorative Arts,1803
34.100.66,American Decorative Arts,1782
1974.155.3,American Decorative Arts,1786
34.100.71,American Decorative Arts,1788
34.100.73,American Decorative Arts,1800
34.100.80,American Decorative Arts,1808
34.100.68,American Decorative Arts,1819
"46.140.784a, b",American Decorative Arts,1850
"46.140.804a, b",American Decorative Arts,1860
46.140.99,American Decorative Arts,1850
1971.180.40,American Decorative Arts,1760
18.110.58,American Decorative Arts,1769
62.233.5,American Decorative Arts,1907
1974.214.11,American Decorative Arts,1910
"62.233.19a, b",American Decorative Arts,1907
1985.40.14,American Decorative Arts,1800
1977.88,American Decorative Arts,1755
41.160.359a–c,American Decorative Arts,1700
1981.356,American Decorative Arts,1800
1985.40.6,American Decorative Arts,1800
14.11.3,American Decorative Arts,1850
40.150.310,American Decorative Arts,1846
1984.395.12,American Decorative Arts,1849
39.184.49,American Decorative Arts,1715
67.262.1a–c,American Decorative Arts,1835
1977.310.1,American Decorative Arts,1852
1977.310.2,American Decorative Arts,1852
46.67.2,American Decorative Arts,1800
46.140.669,American Decorative Arts,1870
46.140.670,American Decorative Arts,1870
1970.100.7,American Decorative Arts,1878
1970.100.8,American Decorative Arts,1881
1970.100.9,American Decorative Arts,1882
1970.100.10,American Decorative Arts,1882
1970.100.11,American Decorative Arts,1881
1970.100.12,American Decorative Arts,1882
1971.182.3,American Decorative Arts,1881
1971.182.4,American Decorative Arts,1883
1971.182.5,American Decorative Arts,1881
1971.182.6,American Decorative Arts,1881
1971.182.7,American Decorative Arts,1881
1971.182.8,American Decorative Arts,1882
1971.182.9,American Decorative Arts,1881
1971.182.10,American Decorative Arts,1881
1971.182.11,American Decorative Arts,1885
10.122.18,American Decorative Arts,1809
10.125.564,American Decorative Arts,1800
10.125.565,American Decorative Arts,1800
10.169,American Decorative Arts,1800
11.87.30,American Decorative Arts,1797
13.31.13,American Decorative Arts,1800
13.179.41,American Decorative Arts,1700
13.179.70a,American Decorative Arts,1700
"13.179.132a, b",American Decorative Arts,1770
13.179.202,American Decorative Arts,1763
"14.74.14a, b",American Decorative Arts,1820
14.120.12,American Decorative Arts,1700
14.120.13,American Decorative Arts,1800
15.79.10,American Decorative Arts,1800
18.95.1,American Decorative Arts,1820
18.95.2,American Decorative Arts,1800
20.109.18,American Decorative Arts,1820
26.277,American Decorative Arts,1770
30.120.297,American Decorative Arts,1820
37.107.1,American Decorative Arts,1641
38.78.3,American Decorative Arts,1820
"38.87.1a, b",American Decorative Arts,1825
40.150.1,American Decorative Arts,1820
40.150.2,American Decorative Arts,1820
